id,type,text1
LIB_ayn_rand,SHIP,"The Ayn Rand-class battleships stand as the ultimate triumph of human ingenuity and engineering prowess. Towering above all lesser vessels, they embody the unrelenting will of progress and the mastery of industry. With an awe-inspiring broadside potential, these warships reign supreme upon the seas, a testament to the indomitable spirit of those who dare to create. In the competitive theater of naval supremacy, the Ayn Rand-class has carved its own path, emerging as a commanding alternative to the Paragon-classâ€”chosen not by chance, but by the immutable law of excellence. "
LIB_cebeci,SHIP,
LIB_celestial_empress,SHIP,"The Celestial Empress-class was the crown jewel of Pinnacle Aerospaceâ€”an icon of interstellar luxury and the most sought-after vessel of Pinnacle Aerospace prior to the Collapse. These majestic cruise liners embodied unmatched splendor, designed not for war, but for wonder. Within their gilded hulls lay a world of indulgence: grand casinos glittering beneath chandeliers of starlight, opulent theaters echoing with symphonies, private tennis courts suspended in artificial gravity, vast banquet halls fit for emperors, and three stratified tiers of passengers, each experiencing their own curated realm of extravagance.
Unburdened by weapons or armor, the Celestial Empress-class vessels relied solely on their breathtaking velocityâ€”engines so advanced they could outrun nearly any threat. In every sense, these ships were not just transportâ€”they were temples of excess, monuments to a bygone age of ambition, beauty, and boundless human aspiration.
"
LIB_Commandante,SHIP,The praetorian class are long range missile command cruisers. The class has extensive missile complement and a large operations center. The ship class contains all the amenities and luxuries that befits an executive or admiral. It even has a small water park so that one can blast your enemies to dust while getting tanned with a cocktail. The class uses an artificially grown programmable brain to handle most tasks performed by a traditional crew. 
LIB_competitor,SHIP," The competitor class is the first warship design by Pinnacle Aerospace. Itâ€™s an incredibly fast frigate with good forward facing firepower, but lacking in defences. This ship is run by an artificially grown mind and this does not need a human crew. The designers took full advantage of this to increase the frigate speed. The competitors' success set the model for future Pinnacle Aerospace warships.
The head of the Persean branch of Pinnacle Aerospace stared at the two screens in front of him . One had a summary on how to create technically legal sub-sabient brains discovered by the research and development department. The other was a proposal to design for a warship. Pinnacle Aerospace made cruise ships not war ships. Moving into the defence industry would contradict Pinnacle Aerospace reputation for class, luxury and professionalism. Then he remembered the abysmal performance review he had to give a few days ago. There was little need for luxury starships in this new dark age. He approved the proposal. 
"
LIB_Coustillier,SHIP,"The Coustillier-class heavy cruisers combine high-speed maneuverability with formidable firepower, making them a dominant force in any fleet. Each ship is equipped with an advanced, artificially grown programmable neural coreâ€”a bio-synthetic brain that enables autonomous operations and adaptive combat strategies. This fusion of cutting-edge technology and intelligent design sets the Coustillier class apart as a premier choice for modern naval superiority. "
LIB_executive,SHIP,      
LIB_hussar,SHIP,"The Hussar-class super frigates are high-performance strike vessels, optimized for hit-and-run tactics. Equipped with dual fixed plasma blasters, they deliver formidable burst damage during rapid assault maneuvers. "
LIB_kanaloa,SHIP,"Blending the luxury of a cruise liner with the capabilities of an exploration vessel, the Kanola-class cruisers are a Mythic Manufacturing response to the renowned Apogee class. Their cutting-edge research facilities are rivaled only by the lavish elegance of their interiors and quarters "
LIB_mcNuke_ship,SHIP,The MC bomber is a heavily armourmed bomber made in collaboration with Supreme Solutions. Firing the NcNuclear missile the MC bomber is a ferocious sight to behold for any captain approaching his ship. 
LIB_Mises,SHIP,"The Miliei-class cruisers are built for the frontline, combining durability, precision, and advanced defense systems. Their reinforced hulls withstand relentless fire, while highly effective point-defense systems neutralize incoming threats with ease. But their true strength lies in their powerful shields, providing near-impervious protection against enemy assaults. Designed for endurance and control, the Miliei-class doesnâ€™t retreatâ€”it holds the line and dominates the battlefield with unwavering force. "
LIB_odin,SHIP,"The Odin-class is a lightly armored artillery destroyer and the inaugural vessel produced by Mythic Manufacturing. Designed for long-range fire support, it features advanced targeting systems and heavy weaponry, prioritizing offensive capability over defensive resilience. The internal space demands of its fire control and weapons systems leave little room for conventional armor.
Autonomous operation is enabled by a vat-grown, legally sub-sentient neural core that manages all onboard systems. As a result, the Odin requires no human crew, making it an efficient and expendable asset for sustained engagements or high-risk operations.
"
LIB_olorin,SHIP,"The Orolin-class represents Mythic Manufacturingâ€™s effort to develop a more cost-effective alternative to the Feanor-class. Although it does not match the Feanor in terms of raw power, the Orolin offers significant savings in production and operational costs. Equipped with fighter bays capable of launching strike craft, it remains a versatile asset in fleet operations. The vessel relies on an artificially grown, programmable brain and advanced automation systems to perform the majority of functions traditionally managed by a human crew. "
LIB_posidon,SHIP,
LIB_Rothbard,SHIP,"The Rothbard-class heavy destroyers are formidable warships engineered for exceptional speed and devastating offensive capabilities. Designed with an emphasis on high maneuverability and firepower, these vessels sacrifice point defense systems in favor of overwhelming assault potential, making them highly effective in frontline engagements. "
LIB_squire,SHIP,"The Squire-class is an escort destroyer designed with a strong emphasis on point defense capabilities. Primarily intended to safeguard capital ships, Squires excel in neutralizing incoming threats such as strike craft and missiles. Armed with two fixed infrared pulse lasers, the Squire is highly effective against fighters and vessels with exposed hulls, making it a formidable deterrent in close defense roles. "
LIB_tolkien,SHIP,"The Feanor-class battlecruisers are immensely powerful warships, renowned for their devastating forward firepower, exceptional speed, and formidable shielding. Thanks to an integrated human brain piloting system, each ship requires only a single crew member to operate. A built-in self-destruct mechanism and an emergency escape shuttle minimize the risk of capture.
The class was conceived by Elizabeth Rinehart, a wealthy and eccentric former mining executive, and constructed by Mythical Manufacturing, whose engineers were captivated by the blueprintâ€™s novel crystalline armor. When the first ship of the line was launched, a grand ceremony marked the occasion. At its climax, Rinehart boldly proclaimed herself ""Queen Protector of the Free Frontier Alliance""â€”then stunned all present by having her brain surgically removed and installed into the flagship, FFAN Feanor.
Rinehart, now permanently integrated into her creation, embarked on a ruthless privateering campaign against the Luddic Path and Sindrian Diktat. Her exploits earned her semi-official recognition from the Free Frontier Alliance, who treated her as a state-sanctioned mercenaryâ€”provided she occasionally took ""advice"" from her ""subjects.""
"
LIB_Yahweh,SHIP,"The Yahweh-Class Universal Dreadnought is the newest and most advanced warship line from Mythic Manufacturing-an apex of ship design capable of fulfilling (almost) any role. Like all cutting-edge models in the Mythic fleet, Yahweh dreadnoughts are piloted by a single human brain suspended in a nutrient tank, eliminating the need for a traditional crew and streamlining operational control.

Each unit comes standard with a backup command deck( in case a brain cannot be found) and a self-destruct system (to prevent capture). Despite its grand title, the ""Universal Dreadnought"" designation is mostly marketing flair-the ship offers only limited personnel transport capacity. But as the 239th Rule of Acquisition reminds us: ""Never be afraid to mislabel a product."""
LIB_arm_flame,WEAPON,"An effective long-range chemical projector designed to disperse flammable compounds across distant targets. While various fuels can be used, the majority of admirals opt for the cost-efficient Fourth Generation biofuel sourced from Isencao."
LIB_duel_laser_cannon_weapon,WEAPON,"The M23 long range Duel laser cannon from supreme solutions inc. A carbon dioxide gain medium is fed energy and produces photons at eleven microns wavelengths used to fire repeating bolts of energy. favors the long-range combatant that has the flux reserves and wants to put suppression on the enemy at the cost of damage per bolt, also a fine work of art. "
LIB_freedom_zapper,WEAPON,"The Tyranny Zapper is a high-output, large-scale Tesla coil system engineered for close-range point defense against incoming strike craft, drones, and missile salvos. Supreme Solution adamantly denies any collaboration or technological exchange with the Tri-Tachyon Corporation in its development, insisting the weapon is an entirely domestic innovation. "
LIB_gold_machine_gun,WEAPON,"The gold-plated single heavy machine gun is a rugged and reliable weapon designed for point defense, much like its larger counterpart. This variant is a cut-down version of the standard heavy machine gun used across the sector, poorly optimized for small weapon mounts.
Built around a time-tested blowback firing mechanism dating back to the days of Old Earth, this weapon maintains exceptional reliability in even the harshest conditions. Its safety features include a positive cook-off prevention system for open-bolt clearing and a double-ram safeguard to prevent malfunctions.
Interestingly, this design emerged independently across multiple mining fleets and refinery operators. The distinctive gold plating is an artistic use of the otherwise low-value metal commonly extracted by mining fleets as excess.
All the parts can be 3D-printed using a micro civilian forge-vat, with blueprints freely available on the Stellar Net. After all, the right to own automatic machine guns is a natural right."
LIB_gold_triple_machine_gun,WEAPON,"The gold-plated triple heavy machine gun is a rugged and reliable weapon designed for point defense, much like its smaller counterpart. This variant is a triple version of the standard heavy machine gun used across the sector, optimized for maximum firepower.
This weapons system features a reliable blowback firing mechanism said to date back to the days of Old Earth. Safety features include a positive cook-off safety for open bolt clearing and double ram prevention. The weapon is typically mounted on a relatively heavy base to help absorb recoil during prolonged bursts of fire.
This design was invented by a rich gun enthusiast on the planet of Jefferson. He posted videos documenting most of the process in the hope of revitalizing weapon innovation across the sector.
Most of the parts can be 3D-printed using a micro civilian forge-vat, with blueprints freely available on the Stellar Net. After all, the right to own automatic machine guns is a natural right.
"
LIB_LARGE_McMacron,WEAPON,"The Large McMacron is a massive macron cannon designed for devastating impact. It launches billions of nanotubes packed with weapons-grade uranium at extreme velocities. Upon impact, the nanotubes trigger nuclear fission, producing billions of miniature explosions that penetrate armor and disrupt electronic systems. "
LIB_macron_small,WEAPON,"The small mcMacron is a powerful macron cannon, engineered to unleash millions of nanotubes packed with weapons-grade uranium at hypersonic velocities. On impact, each nanotube triggers nuclear fission, generating a cascade of micro-explosions capable of piercing even the most resilient armor. The resulting electromagnetic pulse (EMP) further disables electronic systems, making the mcMacron both a devastating kinetic and electronic warfare weapon. "
LIB_mc_macron_medium,WEAPON,"""The Medium McMacron is a rotary macron cannon that unleashes millions of uranium-filled nanotubes at hypersonic speeds. On impact, the nanotubes initiate fission reactions, generating millions of micro-explosions that pierce armor and disable electronics via powerful electromagnetic pulses."" "
LIB_MC_nuke_medium,WEAPON,Two three tube missile pod containing three mc nukes liked together. These torpedoes use cheap 20% refined to combine anti-armour and emp damage. 
LIB_MC_nukes_single,WEAPON,A three tube missile pod containing three mc nukes. These torpedoes use cheap 20% refined to combine anti-armour and emp damage. 
LIB_Mchowitzer,WEAPON,"The McHowitzer is a Casaba Howitzer that combines anti-armor and anti-electronics capabilities at a safe distance. It utilizes lithium deuteride, a fusion fuel commonly used in nuclear weapons, to generate a controlled nuclear fusion reaction. This is directed into a concentrated blast of radiation, plasma, and light, which is then directed toward the target as a beam of destruction. The resulting blast can penetrate heavy armor, disable electronics, and deliver devastating damage with the precision and power of nuclear technology. "
LIB_single_laser_cannon_weapon,WEAPON,"The M18 Single laser cannon from supreme solutions inc. A carbon dioxide gain medium is fed energy and produces photons at eleven microns wavelengths used to fire repeating bolts of energy. favors the long-range combatant that has the flux reserves and wants to put constant pressure on the enemy at the cost of damage per bolt, also a fine work of art. "
LIB_triple_laser_cannon_weapon,WEAPON,The M32 long range Triple barrel laser cannon from supreme solutions is an incredible tool of asset protection. A carbon dioxide gain medium is fed energy and produces photons at eleven microns wavelengths used to fire repeating bolts of energy. favors the long-range combatant that has the flux reserves and wants to unleash a storm of death at his enemy at the cost of damage per bolt. It's also a fine work of art. 
FFA,FACTION,"""Is a man not entitled to the sweat of his brow?""
The Free Frontier Alliance is a confederacy with a highly decentralized system of governance, designed to protect individual rights while minimizing state interference. The government exists primarily to enforce contracts, adjudicate disputes, and provide defense against existential threats. Welfare and government utilities are a Foreign concept to the citizens of the Alliance. The lower classes have one of the lowest standards of living, while the rich enjoy luxury that would make the kings of old envious.
Formerly a member of the Persean League, the Free Frontier Alliance left over the increasing power and imperialism of Kazeron. Also being forced to pay 20% of gdp in union dues (taxes).
The Alliance thrives as an economic powerhouse. It is home to nomadic trade fleets, dystopian cyberpunk megacities, and utopian homesteads. Most of the unskilled labor is handled by vat grown ,(legally) sub sentient, work beasts. Much to the disgust of the alliance's working class and the rest of the sector. 
With no standing military, the Alliance relies on a combination of private defense agencies, mercenary outfits, and volunteer militias. These organizations operate on a contractual basis, responding to pirate incursions, rogue AI threats, or external invasions. These forces are famous for looting everything of value when outside of the alliance's borders.
What little law enforcement happens in the alliance is done by for profit law enforcement firms. While highly efficient, less prosperous areas are effectively lawless due to being unable to afford these services. 
Alliance citizens value self-reliance, innovation, and voluntary cooperation. They are fiercely independent, often enhancing themselves with cybernetic augmentations or gene mods to compete in high-risk, high-reward industries. A common phrase in the Compact is “The stars belong to the bold.” 
"
LIB_superSize,WEAPON,"The Mc Large is an array of six triple-tube micro-nuclear rocket pods, optimized for broad-area bombardment at a fraction of the typical cost. Firing economical 20% refined warheads, this system combines effective anti-armor capabilities with widespread EMP disruption. Designed for high-volume deployment, the Mc Large offers a reliable, cost-effective solution for commanders seeking nuclear saturation without the premium price tag. "
LIB_jillette,SHIP,"The Jillette class are heavily armoured large frigates with great frontal firepower, sturdy armour, and furious speed. The class lacks multidirectional firepower and modularity.  This class uses a traditional crew instead of an artificial intelligence due to Mr. Kirk's belief that ships with traditional crews will sell better than ones controlled by an artificial intelligence."
LIB_abeloth,SHIP,"The Abeloth-class is a firepower-focused super frigate engineered for great offensive capability, high flux tolerance, and solid tactical mobility. Designed with efficiency in mind, each vessel is piloted by a single human brain suspended in a life-sustaining nutrient tank—eliminating the need for a traditional crew and enabling lightning-fast decision-making and combat response.
While a fully automated interface is standard, every unit includes a backup command deck to allow manual control when a neural core is unavailable. Most neural pilots are sourced from debt-ridden volunteers seeking a way out of financial ruin—offering their minds in exchange for lifetime sustenance and escape from their financial obligations.
Unconventional and formidable, the Abeloth-class represents a ruthless fusion of human desperation and cutting-edge warfighting technology."
LIB_Anhur,SHIP,"The Anhur class are Mythic Manufacturing second attempt at development of a monitor. The presence of an advanced targeting core put too much strain on the ship's generator to have an in-built shield generator. The unique crystalline armour technology from Mrs Heinze has been used to give this destroyer impressive armour. Like all cutting-edge models in the Mythic fleet, Anhur monitors are piloted by a single human brain suspended in a nutrient tank, eliminating the need for a traditional crew and streamlining operational control. It comes with a backup bridge for regular human crew as do all brain commanded ships. "
